Category,City,Country,Customer.ID,Customer.Name,Discount,Market,记录数,Order.Date,Order.ID,Order.Priority,Product.ID,Product.Name,Profit,Quantity,Region,Row.ID,Sales,Segment,Ship.Date,Ship.Mode,Shipping.Cost,State,Sub.Category,Year,Market2,weeknum
Office Supplies,New York,United States,CU-23710,Customer 43,0.4,US,1,2023-04-13 00:00:00.000,US-2023-999398,Medium,OFF-53228,Paper Product 422,203.1261,2,East,44,1052.89,Corporate,2023-04-21 00:00:00.000,Same Day,19.45,Texas,Paper,2023,North America,15
Furniture,Houston,United States,CU-70552,Customer 44,0.3,US,1,2021-10-24 00:00:00.000,US-2021-533321,Low,FUR-34586,Furnishings Product 531,76.4263,9,West,45,1516.31,Corporate,2021-10-30 00:00:00.000,Standard Class,44.12,Texas,Furnishings,2021,North America,42
Office Supplies,Chicago,United States,CU-41365,Customer 45,0.4,US,1,2020-09-25 00:00:00.000,US-2020-844261,Medium,OFF-50730,Supplies Product 565,-505.2661,8,South,46,8909.13,Consumer,2020-09-26 00:00:00.000,Second Class,32.4,Texas,Supplies,2020,North America,39
Office Supplies,Los Angeles,United States,CU-71894,Customer 46,0.4,US,1,2023-08-19 00:00:00.000,US-2023-355570,Critical,OFF-82255,Supplies Product 149,728.1868,5,West,47,4997.89,Consumer,2023-08-26 00:00:00.000,Standard Class,42.56,Florida,Supplies,2023,North America,33
Technology,Chicago,United States,CU-29476,Customer 47,0.2,US,1,2021-07-01 00:00:00.000,US-2021-568238,Critical,TEC-55236,Computers Product 341,1662.432,5,West,48,6571.57,Corporate,2021-07-10 00:00:00.000,Same Day,34.7,Texas,Computers,2021,North America,26
Office Supplies,Chicago,United States,CU-59968,Customer 48,0.3,US,1,2022-02-23 00:00:00.000,US-2022-504832,Medium,OFF-74923,Supplies Product 988,71.6358,1,South,49,332.35,Corporate,2022-02-24 00:00:00.000,Second Class,46.1,New York,Supplies,2022,North America,8
Technology,Miami,United States,CU-91691,Customer 49,0.3,US,1,2020-02-01 00:00:00.000,US-2020-826353,Critical,TEC-95175,Accessories Product 83,-318.0505,3,West,50,3040.09,Corporate,2020-02-07 00:00:00.000,Standard Class,16.93,Illinois,Accessories,2020,North America,5
Office Supplies,Los Angeles,United States,CU-93066,Customer 50,0.2,US,1,2023-06-18 00:00:00.000,US-2023-838083,Low,OFF-68153,Supplies Product 171,94.4246,4,Central,51,467.7,Home Office,2023-06-23 00:00:00.000,Same Day,9.43,Illinois,Supplies,2023,North America,24
Technology,Houston,United States,CU-20350,Customer 51,0.5,US,1,2022-06-01 00:00:00.000,US-2022-739098,Critical,TEC-91226,Phones Product 700,343.3887,7,Central,52,1048.89,Consumer,2022-06-05 00:00:00.000,First Class,12.65,Texas,Phones,2022,North America,22
Furniture,Houston,United States,CU-55293,Customer 52,0.4,US,1,2023-09-27 00:00:00.000,US-2023-716113,High,FUR-93746,Tables Product 986,9.0659,5,East,53,86.1,Corporate,2023-10-04 00:00:00.000,First Class,24.88,Florida,Tables,2023,North America,39
Office Supplies,Miami,United States,CU-96275,Customer 53,0.25,US,1,2020-08-06 00:00:00.000,US-2020-515032,High,OFF-11061,Art Product 580,1065.5998,10,South,54,3615.3,Corporate,2020-08-07 00:00:00.000,Second Class,5.99,Florida,Art,2020,North America,32
Office Supplies,New York,United States,CU-67779,Customer 54,0.1,US,1,2023-06-25 00:00:00.000,US-2023-134985,High,OFF-27224,Supplies Product 93,252.9464,2,Central,55,915.75,Consumer,2023-06-30 00:00:00.000,First Class,18.9,New York,Supplies,2023,North America,25
Furniture,Houston,United States,CU-48684,Customer 55,0.2,US,1,2022-12-23 00:00:00.000,US-2022-882824,High,FUR-25095,Furnishings Product 480,819.7059,3,East,56,2420.57,Consumer,2022-12-25 00:00:00.000,Second Class,26.68,Illinois,Furnishings,2022,North America,51
Technology,Miami,United States,CU-59941,Customer 56,0.05,US,1,2020-01-29 00:00:00.000,US-2020-962367,High,TEC-24201,Computers Product 692,1272.2374,8,South,57,4075.67,Home Office,2020-02-02 00:00:00.000,First Class,16.8,California,Computers,2020,North America,5
Furniture,Miami,United States,CU-74569,Customer 57,0.3,US,1,2023-12-06 00:00:00.000,US-2023-221761,Low,FUR-40775,Chairs Product 909,-54.2938,2,Central,58,855.9,Home Office,2023-12-15 00:00:00.000,Second Class,18.7,California,Chairs,2023,North America,49
Technology,New York,United States,CU-58566,Customer 58,0.4,US,1,2022-04-29 00:00:00.000,US-2022-327823,Critical,TEC-68287,Machines Product 974,3018.2073,10,South,59,7879.77,Corporate,2022-05-03 00:00:00.000,Same Day,6.47,Illinois,Machines,2022,North America,17
Furniture,Miami,United States,CU-12799,Customer 59,0.05,US,1,2021-07-19 00:00:00.000,US-2021-153035,High,FUR-41925,Chairs Product 129,-727.7482,8,Central,60,2946.66,Home Office,2021-07-29 00:00:00.000,First Class,33.78,California,Chairs,2021,North America,29
Technology,Houston,United States,CU-42853,Customer 60,0.0,US,1,2020-10-29 00:00:00.000,US-2020-937302,Medium,TEC-24408,Phones Product 677,794.7609,5,East,61,7897.01,Home Office,2020-10-30 00:00:00.000,Second Class,10.85,New York,Phones,2020,North America,44
Technology,New York,United States,CU-57453,Customer 61,0.3,US,1,2021-06-27 00:00:00.000,US-2021-638169,Low,TEC-69245,Phones Product 516,-204.5387,9,Central,62,719.93,Consumer,2021-07-01 00:00:00.000,First Class,25.17,California,Phones,2021,North America,25
Office Supplies,Miami,United States,CU-52219,Customer 62,0.05,US,1,2022-04-02 00:00:00.000,US-2022-737846,Medium,OFF-18609,Paper Product 130,1338.8172,8,Central,63,6522.96,Corporate,2022-04-07 00:00:00.000,Standard Class,45.47,California,Paper,2022,North America,13
Office Supplies,Chicago,United States,CU-39949,Customer 63,0.05,US,1,2023-05-24 00:00:00.000,US-2023-533914,High,OFF-69441,Art Product 409,927.5519,9,South,64,7405.13,Home Office,2023-05-31 00:00:00.000,First Class,25.32,Florida,Art,2023,North America,21
Office Supplies,Houston,United States,CU-58843,Customer 64,0.4,US,1,2020-11-08 00:00:00.000,US-2020-951201,Medium,OFF-82924,Paper Product 62,-460.3804,2,Central,65,1652.13,Corporate,2020-11-18 00:00:00.000,First Class,24.43,Texas,Paper,2020,North America,45
Office Supplies,Los Angeles,United States,CU-39392,Customer 65,0.25,US,1,2021-08-12 00:00:00.000,US-2021-988432,Low,OFF-55890,Art Product 866,224.9246,2,West,66,1807.22,Corporate,2021-08-21 00:00:00.000,First Class,34.55,Florida,Art,2021,North America,32
Furniture,Chicago,United States,CU-13794,Customer 66,0.5,US,1,2023-06-27 00:00:00.000,US-2023-289179,High,FUR-50499,Chairs Product 944,172.4898,1,Central,67,615.51,Home Office,2023-07-03 00:00:00.000,Second Class,36.21,Florida,Chairs,2023,North America,26
Furniture,New York,United States,CU-58503,Customer 67,0.05,US,1,2023-07-20 00:00:00.000,US-2023-426775,High,FUR-84395,Chairs Product 611,3273.2378,9,East,68,16620.37,Consumer,2023-07-22 00:00:00.000,Same Day,20.34,California,Chairs,2023,North America,29
Technology,Houston,United States,CU-24918,Customer 68,0.4,US,1,2022-06-26 00:00:00.000,US-2022-461939,Critical,TEC-24534,Computers Product 291,1159.5594,10,East,69,7963.55,Home Office,2022-07-06 00:00:00.000,Standard Class,38.97,California,Computers,2022,North America,25
Furniture,Los Angeles,United States,CU-75193,Customer 69,0.15,US,1,2020-01-16 00:00:00.000,US-2020-883301,Critical,FUR-33028,Storage Product 133,160.8154,3,West,70,1062.85,Consumer,2020-01-23 00:00:00.000,Same Day,10.4,Illinois,Storage,2020,North America,3
Office Supplies,Miami,United States,CU-64747,Customer 70,0.05,US,1,2020-02-08 00:00:00.000,US-2020-403578,Low,OFF-63088,Binders Product 22,1321.6352,6,Central,71,5271.99,Consumer,2020-02-14 00:00:00.000,Same Day,36.93,California,Binders,2020,North America,6
Technology,New York,United States,CU-53655,Customer 71,0.5,US,1,2022-06-11 00:00:00.000,US-2022-916964,Medium,TEC-20011,Machines Product 523,187.4374,2,Central,72,1181.85,Consumer,2022-06-13 00:00:00.000,Same Day,20.28,California,Machines,2022,North America,23
Office Supplies,Los Angeles,United States,CU-92306,Customer 72,0.1,US,1,2020-10-26 00:00:00.000,US-2020-618119,Critical,OFF-83889,Binders Product 779,1475.7208,10,Central,73,4674.39,Corporate,2020-11-05 00:00:00.000,Second Class,8.39,New York,Binders,2020,North America,44
Furniture,Miami,United States,CU-69233,Customer 73,0.2,US,1,2022-06-24 00:00:00.000,US-2022-139434,Low,FUR-58331,Storage Product 852,-1754.4553,10,Central,74,10131.65,Consumer,2022-06-29 00:00:00.000,Same Day,18.97,California,Storage,2022,North America,25
Technology,Chicago,United States,CU-55015,Customer 74,0.4,US,1,2023-08-27 00:00:00.000,US-2023-849014,Low,TEC-76132,Phones Product 662,148.8163,9,South,75,2076.82,Corporate,2023-08-30 00:00:00.000,Standard Class,9.66,Florida,Phones,2023,North America,34
Technology,Houston,United States,CU-53213,Customer 75,0.25,US,1,2021-08-02 00:00:00.000,US-2021-199096,Critical,TEC-47243,Computers Product 259,-833.3517,10,South,76,5857.19,Corporate,2021-08-12 00:00:00.000,Second Class,20.06,Texas,Computers,2021,North America,31
Technology,Houston,United States,CU-59372,Customer 76,0.3,US,1,2023-09-05 00:00:00.000,US-2023-774751,High,TEC-26750,Accessories Product 687,1112.1845,3,West,77,2939.95,Home Office,2023-09-14 00:00:00.000,Second Class,18.93,Texas,Accessories,2023,North America,36
Technology,New York,United States,CU-23256,Customer 77,0.4,US,1,2021-03-14 00:00:00.000,US-2021-632351,Low,TEC-96760,Machines Product 345,162.544,4,Central,78,1656.11,Consumer,2021-03-24 00:00:00.000,First Class,8.47,Texas,Machines,2021,North America,10
Technology,New York,United States,CU-68841,Customer 78,0.25,US,1,2022-06-15 00:00:00.000,US-2022-345369,Medium,TEC-50562,Machines Product 989,76.698,4,East,79,290.84,Consumer,2022-06-23 00:00:00.000,Second Class,38.86,Illinois,Machines,2022,North America,24
Technology,Chicago,United States,CU-94040,Customer 79,0.1,US,1,2022-12-16 00:00:00.000,US-2022-603935,High,TEC-82684,Accessories Product 957,298.792,4,South,80,3035.29,Corporate,2022-12-18 00:00:00.000,First Class,16.25,Florida,Accessories,2022,North America,50
Office Supplies,Miami,United States,CU-55820,Customer 80,0.3,US,1,2022-11-17 00:00:00.000,US-2022-127965,Critical,OFF-16980,Paper Product 406,54.216,2,Central,81,424.51,Consumer,2022-11-26 00:00:00.000,Second Class,25.3,Texas,Paper,2022,North America,46
Furniture,Los Angeles,United States,CU-28191,Customer 81,0.25,US,1,2021-10-14 00:00:00.000,US-2021-895702,Critical,FUR-68799,Tables Product 631,-956.5561,3,South,82,4190.27,Consumer,2021-10-15 00:00:00.000,First Class,42.34,New York,Tables,2021,North America,41
Technology,Chicago,United States,CU-91633,Customer 82,0.2,US,1,2022-12-16 00:00:00.000,US-2022-579318,Low,TEC-24530,Phones Product 857,181.9436,4,Central,83,2727.29,Consumer,2022-12-24 00:00:00.000,Second Class,23.89,Illinois,Phones,2022,North America,50
Office Supplies,Miami,United States,CU-57265,Customer 83,0.15,US,1,2020-01-04 00:00:00.000,US-2020-170966,Low,OFF-61177,Paper Product 895,2962.1865,10,East,84,10484.5,Home Office,2020-01-12 00:00:00.000,Second Class,8.85,Texas,Paper,2020,North America,1
Technology,Los Angeles,United States,CU-81567,Customer 84,0.05,US,1,2021-12-07 00:00:00.000,US-2021-454992,Medium,TEC-99742,Machines Product 476,774.254,10,Central,85,4653.49,Corporate,2021-12-15 00:00:00.000,Standard Class,7.0,Texas,Machines,2021,North America,49
Office Supplies,Houston,United States,CU-81176,Customer 85,0.15,US,1,2021-02-16 00:00:00.000,US-2021-596395,High,OFF-14799,Binders Product 772,13.094,1,East,86,82.6,Consumer,2021-02-20 00:00:00.000,Same Day,22.92,California,Binders,2021,North America,7
Furniture,Los Angeles,United States,CU-75038,Customer 86,0.3,US,1,2022-01-23 00:00:00.000,US-2022-825686,Critical,FUR-58148,Storage Product 947,912.8005,8,West,87,4925.39,Home Office,2022-02-01 00:00:00.000,First Class,48.82,Texas,Storage,2022,North America,3
Furniture,New York,United States,CU-65851,Customer 87,0.05,US,1,2023-01-22 00:00:00.000,US-2023-274739,Critical,FUR-56077,Chairs Product 458,173.3843,2,South,88,1129.73,Consumer,2023-01-23 00:00:00.000,Same Day,25.07,Illinois,Chairs,2023,North America,3
Office Supplies,Miami,United States,CU-14561,Customer 88,0.1,US,1,2022-01-14 00:00:00.000,US-2022-232361,Low,OFF-40932,Art Product 798,-137.4338,1,South,89,927.94,Corporate,2022-01-20 00:00:00.000,Standard Class,40.16,California,Art,2022,North America,2
Furniture,Houston,United States,CU-46528,Customer 89,0.05,US,1,2022-01-31 00:00:00.000,US-2022-361736,Low,FUR-13396,Furnishings Product 754,-1767.664,10,West,90,8487.67,Home Office,2022-02-03 00:00:00.000,Second Class,19.15,Florida,Furnishings,2022,North America,5
Furniture,New York,United States,CU-68341,Customer 90,0.4,US,1,2023-06-07 00:00:00.000,US-2023-192055,High,FUR-97535,Furnishings Product 356,-120.4619,4,West,91,1387.92,Corporate,2023-06-09 00:00:00.000,First Class,25.34,Florida,Furnishings,2023,North America,23
Office Supplies,Chicago,United States,CU-85009,Customer 91,0.15,US,1,2021-04-04 00:00:00.000,US-2021-486831,Critical,OFF-82305,Art Product 133,142.9627,3,Central,92,641.35,Consumer,2021-04-14 00:00:00.000,Second Class,21.24,Texas,Art,2021,North America,13
Technology,Miami,United States,CU-99143,Customer 92,0.05,US,1,2022-04-18 00:00:00.000,US-2022-642491,High,TEC-26821,Phones Product 900,1291.1164,3,Central,93,4698.07,Corporate,2022-04-27 00:00:00.000,Same Day,25.25,Illinois,Phones,2022,North America,16
Office Supplies,Chicago,United States,CU-78012,Customer 93,0.1,US,1,2020-11-09 00:00:00.000,US-2020-397846,Low,OFF-42847,Binders Product 202,428.2701,6,East,94,3322.12,Corporate,2020-11-18 00:00:00.000,Standard Class,47.64,California,Binders,2020,North America,46
Furniture,New York,United States,CU-83874,Customer 94,0.1,US,1,2023-04-27 00:00:00.000,US-2023-143195,Low,FUR-20646,Tables Product 47,1537.1753,3,Central,95,5086.25,Home Office,2023-05-07 00:00:00.000,Standard Class,32.23,Illinois,Tables,2023,North America,17
Furniture,Chicago,United States,CU-69446,Customer 95,0.2,US,1,2021-08-16 00:00:00.000,US-2021-176517,Low,FUR-30719,Tables Product 451,2740.173,8,South,96,8239.33,Home Office,2021-08-23 00:00:00.000,Standard Class,23.27,Florida,Tables,2021,North America,33
Furniture,Houston,United States,CU-26059,Customer 96,0.1,US,1,2021-12-08 00:00:00.000,US-2021-380464,Critical,FUR-42495,Furnishings Product 145,918.309,6,East,97,10535.37,Corporate,2021-12-10 00:00:00.000,Second Class,15.88,Texas,Furnishings,2021,North America,49
Technology,New York,United States,CU-75373,Customer 97,0.25,US,1,2021-11-01 00:00:00.000,US-2021-423528,Critical,TEC-13037,Accessories Product 93,1257.6095,4,South,98,5604.5,Home Office,2021-11-08 00:00:00.000,Same Day,28.16,New York,Accessories,2021,North America,44
Office Supplies,Los Angeles,United States,CU-44664,Customer 98,0.4,US,1,2021-07-30 00:00:00.000,US-2021-862847,High,OFF-62855,Supplies Product 375,1034.1664,5,East,99,2984.52,Consumer,2021-07-31 00:00:00.000,First Class,24.39,California,Supplies,2021,North America,30
Furniture,Miami,United States,CU-26864,Customer 99,0.5,US,1,2022-10-29 00:00:00.000,US-2022-201377,Critical,FUR-58915,Chairs Product 814,607.4623,5,East,100,2265.51,Corporate,2022-11-04 00:00:00.000,First Class,32.5,California,Chairs,2022,North America,43
Office Supplies,Los Angeles,United States,CU-28321,Customer 100,0.25,US,1,2020-04-02 00:00:00.000,US-2020-443897,High,OFF-31299,Art Product 403,53.5803,8,East,101,524.63,Consumer,2020-04-12 00:00:00.000,Same Day,45.19,Illinois,Art,2020,North America,14
